Sample_description_ID	object	3584
Sample_title	object	3584
Sample_geo_accession	object	3584
Sample_status	category	1
Sample_submission_date	category	1
Sample_last_update_date	category	1
Sample_type	category	1
Sample_channel_count	int64	1
Sample_source_name_ch1	category	1
Sample_organism_ch1	category	1
Sample_characteristics_ch1_diagnosis	category	1
Sample_characteristics_ch1_plate_id	int64	69
Sample_characteristics_ch1_well	category	95
Sample_characteristics_ch1_tissue	category	2
Sample_characteristics_ch1_patient_id	category	4
Sample_characteristics_ch1_tsne_cluster	int64	12
Sample_characteristics_ch1_cell_type	category	7
Sample_characteristics_ch1_neoplastic	category	2
Sample_characteristics_ch1_selection	category	6
Sample_molecule_ch1	category	1
Sample_extract_protocol_ch1_1	category	1
Sample_extract_protocol_ch1_2	category	1
Sample_taxid_ch1	int64	1
Sample_description_experiment	category	2
Sample_data_processing_Short_read_trimming	int8	1
Sample_data_processing_Read_alignment	category	1
Sample_data_processing_Per-gene_read_assignement	category	1
Sample_data_processing_Genome_build	category	1
Sample_data_processing_Supplementary_files_format_and_content	category	1
Sample_platform_id	category	1
Sample_contact_name	category	1
Sample_contact_email	category	1
Sample_contact_phone	int64	1
Sample_contact_laboratory	category	1
Sample_contact_department	category	1
Sample_contact_institute	category	1
Sample_contact_address	category	1
Sample_contact_city	category	1
Sample_contact_state	category	1
Sample_contact_zip/postal_code	int64	1
Sample_contact_country	category	1
Sample_data_row_count	int64	1
Sample_instrument_model	category	1
Sample_library_selection	category	1
Sample_library_source	category	1
Sample_library_strategy	category	1
Sample_relation_BioSample	object	3584
Sample_relation_SRA	object	3584
Sample_supplementary_file_1	object	3584
Sample.type	category	1
Selection	category	6
Location	category	3
Sample.name	category	4
Total_reads	int64	3580
Unique_reads	int64	3576
Unique_reads_percent	float64	1808
Splice_sites_total	int64	3567
Splice_sites_Annotated	int64	3567
Splice_sites_GT.AG	int64	3567
Splice_sites_GC.AG	int64	2092
Splice_sites_AT.AC	int64	544
Splice_sites_non_canonical	int64	684
Multimapping_reads_percent	float64	350
Unmapped_mismatch	float64	487
Unmapped_short	float64	1729
Unmapped_other	float64	47
ERCC_reads	int64	3536
Non_ERCC_reads	int64	3572
ERCC_to_non_ERCC	float64	3584
Genes_detected	int64	2273
housekeeping_cluster	int64	1
housekeeping_cluster_color	category	1
Sample.type.color	category	1
Selection.color	category	6
Sample.name.color	category	4
Location.color	category	3
Cluster_2d	int64	12
Cluster_2d_color	category	12
